id;start_date;end_date;created_on;lat;lon;localidad_1;localidad_2;localidad_3;localidad_4;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;property_type;l3_new;l4_new
556713;2019-11-29;9999-12-31;2019-11-29;-58.4423994;-34.5736231;Argentina;Capital Federal;Colegiales;sin_info;3.0;2.0;2.0;;;;USD;Departamento;other;other
192912;2020-06-05;2020-06-08;2020-06-05;-58.4304928;-34.60662;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;77.0;67.0;;USD;Departamento;other;other
238224;2020-07-01;9999-12-31;2020-07-01;-58.49176025;-34.57412338;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;;1.0;60.0;55.0;;USD;Departamento;other;other
257134;2019-08-17;9999-12-31;2019-08-17;-58.420737;-34.63177;Argentina;Capital Federal;Boedo;sin_info;2.0;1.0;1.0;74.0;47.0;;USD;PH;other;other
521738;2019-08-05;2019-08-31;2019-08-05;-58.429983;-34.607225;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;66.0;64.0;;USD;Departamento;other;other
383947;2019-10-23;2019-11-08;2019-10-23;-58.42078;-34.60864;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;55.0;55.0;;USD;PH;other;other
986212;2019-08-01;2019-08-14;2019-08-01;-58.3713942;-34.6218351;Argentina;Capital Federal;San Telmo;sin_info;3.0;2.0;1.0;42.0;42.0;;USD;PH;other;other
499733;2019-07-24;9999-12-31;2019-07-24;-58.4040541;-34.599623;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;;2.0;91.0;86.0;;USD;Departamento;other;other
76927;2020-06-17;9999-12-31;2020-06-17;-58.507339;-34.590882;Argentina;Capital Federal;Villa Devoto;sin_info;2.0;;2.0;;;;USD;Departamento;other;other
473866;2019-07-06;2019-07-09;2019-07-06;-58.4216496;-34.5886019;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;80.0;80.0;;USD;Departamento;other;other
155953;2019-12-03;2019-12-17;2019-12-03;-58.3780949947;-34.6084783391;Argentina;Capital Federal;Monserrat;sin_info;2.0;1.0;1.0;48.0;43.0;;USD;Departamento;other;other
758087;2020-02-07;9999-12-31;2020-02-07;-58.4309096;-34.6272681;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;;;;USD;Departamento;other;other
836819;2020-04-28;2020-05-08;2020-04-28;-58.4202947344;-34.6062714998;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;80.0;76.0;;USD;Departamento;other;other
438415;2019-11-16;2020-02-09;2019-11-16;-58.398942;-34.606149;Argentina;Capital Federal;Balvanera;sin_info;2.0;1.0;1.0;32.0;33.0;;USD;Departamento;other;other
469753;2019-09-20;2019-12-20;2019-09-20;-58.472391;-34.584208;Argentina;Capital Federal;Villa Ortuzar;sin_info;2.0;1.0;1.0;48.0;48.0;;USD;Departamento;other;other
884685;2020-04-02;2020-04-03;2020-04-02;;;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;82.0;52.0;;USD;PH;other;other
660342;2020-01-24;2020-02-13;2020-01-24;-58.405105;-34.590794;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;3.0;90.0;85.0;;USD;Departamento;other;other
854204;2020-01-17;2020-01-19;2020-01-17;-58.48858;-34.571899;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;65.0;61.0;;USD;Departamento;other;other
195954;2020-05-19;2020-08-07;2020-05-19;-58.4112957;-34.5924844;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;73.0;64.0;;USD;Departamento;other;other
801187;2020-02-12;9999-12-31;2020-02-12;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other
566805;2019-12-05;2019-12-14;2019-12-05;-58.420144;-34.584219;Argentina;Capital Federal;Palermo;sin_info;2.0;1.0;1.0;48.0;45.0;;USD;Departamento;other;other
356465;2019-11-06;2019-12-23;2019-11-06;-58.416687637;-34.5976131344;Argentina;Capital Federal;Palermo;sin_info;2.0;1.0;1.0;51.0;42.0;;USD;Departamento;other;other
165926;2019-07-26;9999-12-31;2019-07-26;-58.4265672;-34.5976731;Argentina;Capital Federal;Palermo;sin_info;2.0;;2.0;55.0;47.0;;USD;Departamento;other;other
777663;2020-02-29;2020-03-06;2020-02-29;-58.4532069;-34.5957203;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;2.0;49.0;44.0;;USD;PH;other;other
13932;2020-05-23;2020-06-01;2020-05-23;-58.399261679;-34.6031400479;Argentina;Capital Federal;Once;sin_info;3.0;2.0;1.0;94.0;94.0;;USD;Departamento;other;other
403533;2020-03-29;2020-04-03;2020-03-29;-58.4425531169;-34.5967927375;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;84.0;79.0;;USD;Departamento;other;other
882393;2020-04-02;2020-06-01;2020-04-02;-58.406374253;-34.5961440135;Argentina;Capital Federal;Barrio Norte;sin_info;2.0;1.0;1.0;29.0;29.0;;USD;Departamento;other;other
556695;2019-11-29;2020-01-21;2019-11-29;-58.449111;-34.608817;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;60.0;48.0;;USD;PH;other;other
230552;2020-06-18;9999-12-31;2020-06-18;-58.4227031;-34.5916303;Argentina;Capital Federal;Palermo;Palermo Viejo;3.0;2.0;1.0;49.0;46.0;;USD;Departamento;other;Palermo Viejo
513054;2020-02-26;2020-09-01;2020-02-26;-58.4311921;-34.6004697;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;2.0;63.0;60.0;;USD;Departamento;other;other
956573;2020-05-20;2020-05-20;2020-05-20;-58.4133256018;-34.5990735481;Argentina;Capital Federal;Barrio Norte;sin_info;2.0;1.0;1.0;44.0;41.0;;USD;Departamento;other;other
95811;2019-11-24;2019-12-02;2019-11-24;-58.497804;-34.552412;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;2.0;76.0;50.0;;USD;PH;other;other
987595;2019-08-01;2019-08-14;2019-08-01;-58.4842762;-34.5983593;Argentina;Capital Federal;Villa del Parque;sin_info;3.0;2.0;1.0;86.0;72.0;;USD;Departamento;other;other
168773;2020-01-19;9999-12-31;2020-01-19;-58.0691331312;-34.8510459506;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Villa Elisa;3.0;2.0;2.0;;;;USD;Departamento;other;other
606651;2019-09-14;2019-09-17;2019-09-14;-58.3834375708;-34.5943108467;Argentina;Capital Federal;Recoleta;sin_info;2.0;1.0;1.0;39.0;39.0;;USD;Departamento;Recoleta;other
410552;2019-10-13;2020-01-21;2019-10-13;-58.431494236;-34.611806655;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;47.0;43.0;;USD;Departamento;other;other
190644;2020-05-26;2020-06-01;2020-05-26;-58.467205;-34.607052;Argentina;Capital Federal;Villa General Mitre;sin_info;2.0;1.0;2.0;54.0;52.0;;USD;Departamento;other;other
112788;2019-11-10;2019-11-29;2019-11-10;-58.488707;-34.603097;Argentina;Capital Federal;Villa del Parque;sin_info;3.0;2.0;1.0;85.0;75.0;;USD;Departamento;other;other
606095;2019-09-14;2019-09-17;2019-09-14;-58.4492993;-34.6081623;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;47.0;47.0;;USD;PH;other;other
415365;2019-11-28;9999-12-31;2019-11-28;-58.417304;-34.6141446;Argentina;Capital Federal;Almagro;sin_info;2.0;;1.0;57.0;51.0;;USD;Departamento;other;other
743024;2020-06-30;9999-12-31;2020-06-30;-58.445597;-34.557254;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;60.0;56.0;;USD;Departamento;Belgrano;other
166069;2019-07-26;2020-02-04;2019-07-26;-58.4820872386;-34.5741577173;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;;2.0;110.0;85.0;;USD;PH;other;other
47087;2019-10-11;2019-11-02;2019-10-11;-58.4513592;-34.5617029;Argentina;Capital Federal;Belgrano;sin_info;2.0;1.0;1.0;48.0;48.0;;USD;Departamento;Belgrano;other
261147;2020-07-24;9999-12-31;2020-07-24;-58.5168364;-34.6598367;Argentina;Capital Federal;Mataderos;sin_info;3.0;2.0;2.0;;;;USD;Departamento;other;other
339691;2019-11-20;2020-06-19;2019-11-20;-58.4484207;-34.5815742;Argentina;Capital Federal;Palermo;sin_info;3.0;;2.0;80.0;80.0;;USD;Departamento;other;other
171679;2020-05-12;2020-05-20;2020-05-12;-58.44166;-34.60725;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;36.0;36.0;;USD;Departamento;other;other
620616;2020-03-19;2020-04-03;2020-03-19;-58.4047136038;-34.5932650235;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;1.0;56.0;52.0;;USD;Departamento;other;other
332233;2020-05-13;2020-05-29;2020-05-13;-58.3816141;-34.6131365;Argentina;Capital Federal;Monserrat;sin_info;3.0;2.0;2.0;85.0;85.0;;USD;Departamento;other;other
960442;2020-05-30;2020-06-15;2020-05-30;-57.9968732;-34.9313541;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;80.0;67.0;;USD;Departamento;other;other
541833;2020-05-15;2020-08-03;2020-05-15;;;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other
854062;2020-01-17;2020-02-13;2020-01-17;-58.4322374;-34.5823429;Argentina;Capital Federal;Palermo;Palermo Hollywood;3.0;2.0;2.0;78.0;78.0;;USD;Departamento;other;other
262247;2019-12-26;2020-07-16;2019-12-26;-58.4202848;-34.6145394;Argentina;Capital Federal;Almagro;sin_info;3.0;;2.0;83.0;76.0;;USD;Departamento;other;other
78476;2019-10-28;2020-08-25;2019-10-28;-58.4776807;-34.549306;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;1.0;34.0;34.0;;USD;Departamento;other;other
247473;2020-01-03;2020-09-09;2020-01-03;-57.960445;-34.9221667;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;sin_info;2.0;;1.0;50.0;50.0;;USD;Departamento;other;other
250522;2020-01-16;9999-12-31;2020-01-16;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;PH;other;other
578236;2019-08-13;2019-08-14;2019-08-13;-58.41561;-34.60845;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;2.0;124.0;124.0;;USD;PH;other;other
878367;2019-11-13;2020-02-04;2019-11-13;-58.436304;-34.60253;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;46.0;43.0;;USD;Departamento;other;other
127418;2020-07-07;2020-07-22;2020-07-07;-58.4187335851;-34.5988808376;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;74.0;74.0;;USD;Departamento;other;other
536360;2020-04-24;2020-05-08;2020-04-24;;;Argentina;Capital Federal;Almagro;sin_info;2.0;1.0;1.0;42.0;38.0;;USD;Departamento;other;other
636460;2020-02-21;2020-05-04;2020-02-21;-58.5067468;-34.6236829;Argentina;Capital Federal;Floresta;sin_info;2.0;1.0;1.0;48.0;41.0;;USD;Departamento;other;other
476380;2020-06-04;2020-06-08;2020-06-04;-58.441151;-34.5942498;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;71.0;68.0;;USD;Departamento;other;other
970258;2020-03-16;9999-12-31;2020-03-16;-58.4686134;-34.5636716;Argentina;Capital Federal;Coghlan;sin_info;3.0;2.0;2.0;;;;USD;Departamento;other;other
198438;2019-07-05;2019-07-09;2019-07-05;-58.4644209;-34.5533609;Argentina;Capital Federal;Nuñez;sin_info;2.0;1.0;1.0;35.0;33.0;;USD;Departamento;other;other
50587;2019-09-09;9999-12-31;2019-09-09;-58.4660831;-34.6245155;Argentina;Capital Federal;Flores;sin_info;2.0;;1.0;53.0;53.0;;USD;Departamento;other;other
591903;2020-03-10;2020-03-15;2020-03-10;-58.4197726235;-34.5974800277;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;90.0;81.0;;USD;Departamento;other;other
309742;2020-07-26;9999-12-31;2020-07-26;-58.48834229;-34.63687897;Argentina;Capital Federal;Velez Sarsfield;sin_info;2.0;1.0;1.0;45.0;44.0;;USD;Departamento;other;other
638111;2020-02-21;2020-02-22;2020-02-21;-57.947296;-34.9124997;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;2.0;1.0;1.0;41.0;41.0;;USD;Departamento;other;other
547918;2019-11-14;9999-12-31;2019-11-14;-58.4803465;-34.5742274;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other
659211;2020-01-24;2020-02-11;2020-01-24;-58.4346224;-34.5901743;Argentina;Capital Federal;Palermo;Palermo Soho;2.0;1.0;1.0;33.0;33.0;;USD;Departamento;other;other
631300;2020-02-14;2020-04-13;2020-02-14;-58.444037;-34.621284;Argentina;Capital Federal;Caballito;sin_info;2.0;;;24.0;24.0;;USD;Departamento;other;other
476373;2020-06-04;2020-06-08;2020-06-04;-58.4056714925;-34.6038554905;Argentina;Capital Federal;Balvanera;sin_info;3.0;2.0;1.0;54.0;54.0;;USD;Departamento;other;other
127470;2020-07-07;9999-12-31;2020-07-07;;;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;La Plata;3.0;2.0;1.0;;62.0;;USD;PH;other;other
169388;2020-01-19;2020-05-29;2020-01-19;-58.4708118;-34.5659686;Argentina;Capital Federal;Coghlan;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other
879781;2019-11-13;2020-07-31;2019-11-13;-58.484254;-34.5673304;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;;;;;USD;Departamento;other;other
49645;2019-08-18;2019-09-14;2019-08-18;-58.423579;-34.640337;Argentina;Capital Federal;Parque Chacabuco;sin_info;2.0;1.0;1.0;47.0;40.0;;USD;Departamento;other;other
287082;2020-06-23;2020-09-23;2020-06-23;-58.37118149;-34.62569809;Argentina;Capital Federal;San Telmo;sin_info;2.0;;2.0;102.0;92.0;;USD;Departamento;other;other
284291;2020-05-05;2020-08-24;2020-05-05;-58.4689923;-34.6336296;Argentina;Capital Federal;Flores;sin_info;2.0;1.0;1.0;42.0;39.0;;USD;Departamento;other;other
