id;lat;lon;localidad_1;localidad_2;localidad_3;localidad_4;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;property_type;l3_zona;l3_comuna;l3_new;l4_new;start_date_year;start_date_month;start_date_day;end_date_year;end_date_month;end_date_day
556713;-58.4423994;-34.5736231;Argentina;Capital Federal;Colegiales;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Norte;Comuna 13;other;other;2019;11;29;9999;12;31
192912;-58.4304928;-34.60662;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;77.0;67.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;6;5;2020;6;8
238224;-58.49176025;-34.57412338;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;;1.0;60.0;55.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;7;1;9999;12;31
257134;-58.420737;-34.63177;Argentina;Capital Federal;Boedo;sin_info;2.0;1.0;1.0;74.0;47.0;;USD;PH;Centro;Comuna 5;other;other;2019;8;17;9999;12;31
521738;-58.429983;-34.607225;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;66.0;64.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;8;5;2019;8;31
383947;-58.42078;-34.60864;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;55.0;55.0;;USD;PH;Centro;Comuna 5;other;other;2019;10;23;2019;11;8
986212;-58.3713942;-34.6218351;Argentina;Capital Federal;San Telmo;sin_info;3.0;2.0;1.0;42.0;42.0;;USD;PH;Este;Comuna 1;other;other;2019;8;1;2019;8;14
499733;-58.4040541;-34.599623;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;;2.0;91.0;86.0;;USD;Departamento;other;other;other;other;2019;7;24;9999;12;31
76927;-58.507339;-34.590882;Argentina;Capital Federal;Villa Devoto;sin_info;2.0;;2.0;;;;USD;Departamento;Oeste;Comuna 11;other;other;2020;6;17;9999;12;31
473866;-58.4216496;-34.5886019;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;80.0;80.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;7;6;2019;7;9
155953;-58.3780949947;-34.6084783391;Argentina;Capital Federal;Monserrat;sin_info;2.0;1.0;1.0;48.0;43.0;;USD;Departamento;Este;Comuna 1;other;other;2019;12;3;2019;12;17
758087;-58.4309096;-34.6272681;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;;;;USD;Departamento;Centro;Comuna 6;other;other;2020;2;7;9999;12;31
836819;-58.4202947344;-34.6062714998;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;80.0;76.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;4;28;2020;5;8
438415;-58.398942;-34.606149;Argentina;Capital Federal;Balvanera;sin_info;2.0;1.0;1.0;32.0;33.0;;USD;Departamento;Este;Comuna 3;other;other;2019;11;16;2020;2;9
469753;-58.472391;-34.584208;Argentina;Capital Federal;Villa Ortuzar;sin_info;2.0;1.0;1.0;48.0;48.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;9;20;2019;12;20
884685;;;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;82.0;52.0;;USD;PH;Norte;Comuna 12;other;other;2020;4;2;2020;4;3
660342;-58.405105;-34.590794;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;2.0;3.0;90.0;85.0;;USD;Departamento;other;other;other;other;2020;1;24;2020;2;13
854204;-58.48858;-34.571899;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;65.0;61.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;1;17;2020;1;19
195954;-58.4112957;-34.5924844;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;73.0;64.0;;USD;Departamento;Norte;Comuna 14;other;other;2020;5;19;2020;8;7
801187;;;Argentina;Capital Federal;sin_info;sin_info;2.0;1.0;1.0;;;;USD;Departamento;other;other;other;other;2020;2;12;9999;12;31
566805;-58.420144;-34.584219;Argentina;Capital Federal;Palermo;sin_info;2.0;1.0;1.0;48.0;45.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;12;5;2019;12;14
356465;-58.416687637;-34.5976131344;Argentina;Capital Federal;Palermo;sin_info;2.0;1.0;1.0;51.0;42.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;11;6;2019;12;23
165926;-58.4265672;-34.5976731;Argentina;Capital Federal;Palermo;sin_info;2.0;;2.0;55.0;47.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;7;26;9999;12;31
777663;-58.4532069;-34.5957203;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;2.0;49.0;44.0;;USD;PH;Centro;Comuna 15;other;other;2020;2;29;2020;3;6
13932;-58.399261679;-34.6031400479;Argentina;Capital Federal;Once;sin_info;3.0;2.0;1.0;94.0;94.0;;USD;Departamento;other;other;other;other;2020;5;23;2020;6;1
403533;-58.4425531169;-34.5967927375;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;1.0;84.0;79.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;3;29;2020;4;3
882393;-58.406374253;-34.5961440135;Argentina;Capital Federal;Barrio Norte;sin_info;2.0;1.0;1.0;29.0;29.0;;USD;Departamento;other;other;other;other;2020;4;2;2020;6;1
556695;-58.449111;-34.608817;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;60.0;48.0;;USD;PH;Centro;Comuna 6;other;other;2019;11;29;2020;1;21
230552;-58.4227031;-34.5916303;Argentina;Capital Federal;Palermo;Palermo Viejo;3.0;2.0;1.0;49.0;46.0;;USD;Departamento;Norte;Comuna 14;other;Palermo Viejo;2020;6;18;9999;12;31
513054;-58.4311921;-34.6004697;Argentina;Capital Federal;Villa Crespo;sin_info;3.0;2.0;2.0;63.0;60.0;;USD;Departamento;Centro;Comuna 15;other;other;2020;2;26;2020;9;1
956573;-58.4133256018;-34.5990735481;Argentina;Capital Federal;Barrio Norte;sin_info;2.0;1.0;1.0;44.0;41.0;;USD;Departamento;other;other;other;other;2020;5;20;2020;5;20
95811;-58.497804;-34.552412;Argentina;Capital Federal;Saavedra;sin_info;2.0;1.0;2.0;76.0;50.0;;USD;PH;Norte;Comuna 12;other;other;2019;11;24;2019;12;2
987595;-58.4842762;-34.5983593;Argentina;Capital Federal;Villa del Parque;sin_info;3.0;2.0;1.0;86.0;72.0;;USD;Departamento;Oeste;Comuna 11;other;other;2019;8;1;2019;8;14
168773;-58.0691331312;-34.8510459506;Argentina;Bs.As. G.B.A. Zona Sur;La Plata;Villa Elisa;3.0;2.0;2.0;;;;USD;Departamento;G.B.A. Zona Sur;G.B.A. Zona Sur;other;other;2020;1;19;9999;12;31
606651;-58.3834375708;-34.5943108467;Argentina;Capital Federal;Recoleta;sin_info;2.0;1.0;1.0;39.0;39.0;;USD;Departamento;Norte;Comuna 2;Recoleta;other;2019;9;14;2019;9;17
410552;-58.431494236;-34.611806655;Argentina;Capital Federal;Caballito;sin_info;2.0;1.0;1.0;47.0;43.0;;USD;Departamento;Centro;Comuna 6;other;other;2019;10;13;2020;1;21
190644;-58.467205;-34.607052;Argentina;Capital Federal;Villa General Mitre;sin_info;2.0;1.0;2.0;54.0;52.0;;USD;Departamento;Oeste;Comuna 11;other;other;2020;5;26;2020;6;1
112788;-58.488707;-34.603097;Argentina;Capital Federal;Villa del Parque;sin_info;3.0;2.0;1.0;85.0;75.0;;USD;Departamento;Oeste;Comuna 11;other;other;2019;11;10;2019;11;29
606095;-58.4492993;-34.6081623;Argentina;Capital Federal;Villa Crespo;sin_info;2.0;1.0;1.0;47.0;47.0;;USD;PH;Centro;Comuna 15;other;other;2019;9;14;2019;9;17
415365;-58.417304;-34.6141446;Argentina;Capital Federal;Almagro;sin_info;2.0;;1.0;57.0;51.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;11;28;9999;12;31
