id;lat;lon;localidad_1;localidad_2;localidad_3;localidad_4;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;property_type;l3_zona;l3_comuna;l3_new;l4_new;start_date_year;start_date_month;start_date_day;end_date_year;end_date_month;end_date_day;quarter_start_date;m2_price_gob
556713;-58.4423994;-34.5736231;Argentina;Capital Federal;Colegiales;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Norte;Comuna 13;other;other;2019;11;29;9999;12;31;4;3620.1489477299046
192912;-58.4304928;-34.60662;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;77.0;67.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;6;5;2020;6;8;2;3175.9177624488034
238224;-58.49176025;-34.57412338;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;;1.0;60.0;55.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;7;1;9999;12;31;3;3132.4724912447577
257134;-58.420737;-34.63177;Argentina;Capital Federal;Boedo;sin_info;2.0;1.0;1.0;74.0;47.0;;USD;PH;Centro;Comuna 5;other;other;2019;8;17;9999;12;31;3;2668.6621858353296
521738;-58.429983;-34.607225;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;66.0;64.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;8;5;2019;8;31;3;3123.5529113949997
383947;-58.42078;-34.60864;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;55.0;55.0;;USD;PH;Centro;Comuna 5;other;other;2019;10;23;2019;11;8;4;3145.2527349928964
986212;-58.3713942;-34.6218351;Argentina;Capital Federal;San Telmo;sin_info;3.0;2.0;1.0;42.0;42.0;;USD;PH;Este;Comuna 1;other;other;2019;8;1;2019;8;14;3;0.0
499733;-58.4040541;-34.599623;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;;2.0;91.0;86.0;;USD;Departamento;other;other;other;other;2019;7;24;9999;12;31;3;0.0
76927;-58.507339;-34.590882;Argentina;Capital Federal;Villa Devoto;sin_info;2.0;;2.0;;;;USD;Departamento;Oeste;Comuna 11;other;other;2020;6;17;9999;12;31;2;3055.437696701247
473866;-58.4216496;-34.5886019;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;80.0;80.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;7;6;2019;7;9;3;3902.1896178093994
155953;-58.3780949947;-34.6084783391;Argentina;Capital Federal;Monserrat;sin_info;2.0;1.0;1.0;48.0;43.0;;USD;Departamento;Este;Comuna 1;other;other;2019;12;3;2019;12;17;4;0.0
758087;-58.4309096;-34.6272681;Argentina;Capital Federal;Caballito;sin_info;3.0;2.0;1.0;;;;USD;Departamento;Centro;Comuna 6;other;other;2020;2;7;9999;12;31;1;3287.4493983760863
836819;-58.4202947344;-34.6062714998;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;80.0;76.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;4;28;2020;5;8;2;3175.9177624488034
438415;-58.398942;-34.606149;Argentina;Capital Federal;Balvanera;sin_info;2.0;1.0;1.0;32.0;33.0;;USD;Departamento;Este;Comuna 3;other;other;2019;11;16;2020;2;9;4;2794.6819180997104
469753;-58.472391;-34.584208;Argentina;Capital Federal;Villa Ortuzar;sin_info;2.0;1.0;1.0;48.0;48.0;;USD;Departamento;Centro;Comuna 15;other;other;2019;9;20;2019;12;20;3;0.0
884685;;;Argentina;Capital Federal;Villa Urquiza;sin_info;3.0;2.0;2.0;82.0;52.0;;USD;PH;Norte;Comuna 12;other;other;2020;4;2;2020;4;3;2;3353.0802504285743
