id;lat;lon;localidad_1;localidad_2;localidad_3;localidad_4;rooms;bedrooms;bathrooms;surface_total;surface_covered;price;currency;property_type;l3_zona;l3_comuna;l3_new;l4_new;start_date_year;start_date_month;start_date_day;end_date_year;end_date_month;end_date_day;quarter_start_date;m2_price_gob;lat_final;lon_final;madero;torre;puerto madero;cochera;palermo;000;belgrano;ambientes;dep;semipiso;recoleta;venta ubicado;000 departamento;departamento;venta;plata;amb;dependencia;vista;terraza;piso;canitas;coch;capital federal;ph;federal;categoria;departamento ambientes venta;amenities;duplex;alto;m2;depto;av;estrenar;ambientes cochera;oportunidad;departamento ambientes;ambientes venta;reciclado;baulera;departamento venta;dormitorio;piso alto;capital;excelente;barrio norte;nunez;centro;2amb;impecable;000 departamento venta
556713;-58.4423994;-34.5736231;Argentina;Capital Federal;Colegiales;sin_info;3.0;2.0;2.0;;;;USD;Departamento;Norte;Comuna 13;other;other;2019;11;29;9999;12;31;4;3620.1489477299046;-34.5736231;-34.5736231;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
192912;-58.4304928;-34.60662;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;2.0;77.0;67.0;;USD;Departamento;Centro;Comuna 5;other;other;2020;6;5;2020;6;8;2;3175.9177624488034;-34.60662;-34.60662;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
238224;-58.49176025;-34.57412338;Argentina;Capital Federal;Villa Urquiza;sin_info;2.0;;1.0;60.0;55.0;;USD;Departamento;Norte;Comuna 12;other;other;2020;7;1;9999;12;31;3;3132.4724912447577;-34.57412338;-34.57412338;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
257134;-58.420737;-34.63177;Argentina;Capital Federal;Boedo;sin_info;2.0;1.0;1.0;74.0;47.0;;USD;PH;Centro;Comuna 5;other;other;2019;8;17;9999;12;31;3;2668.6621858353296;-34.63177;-34.63177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
521738;-58.429983;-34.607225;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;66.0;64.0;;USD;Departamento;Centro;Comuna 5;other;other;2019;8;5;2019;8;31;3;3123.5529113949997;-34.607225;-34.607225;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
383947;-58.42078;-34.60864;Argentina;Capital Federal;Almagro;sin_info;3.0;2.0;1.0;55.0;55.0;;USD;PH;Centro;Comuna 5;other;other;2019;10;23;2019;11;8;4;3145.2527349928964;-34.60864;-34.60864;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
986212;-58.3713942;-34.6218351;Argentina;Capital Federal;San Telmo;sin_info;3.0;2.0;1.0;42.0;42.0;;USD;PH;Este;Comuna 1;other;other;2019;8;1;2019;8;14;3;0.0;-34.6218351;-34.6218351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
499733;-58.4040541;-34.599623;Argentina;Capital Federal;Barrio Norte;sin_info;3.0;;2.0;91.0;86.0;;USD;Departamento;other;other;other;other;2019;7;24;9999;12;31;3;0.0;-34.599623;-34.599623;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
76927;-58.507339;-34.590882;Argentina;Capital Federal;Villa Devoto;sin_info;2.0;;2.0;;;;USD;Departamento;Oeste;Comuna 11;other;other;2020;6;17;9999;12;31;2;3055.437696701247;-34.590882;-34.590882;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
473866;-58.4216496;-34.5886019;Argentina;Capital Federal;Palermo;sin_info;3.0;2.0;2.0;80.0;80.0;;USD;Departamento;Norte;Comuna 14;other;other;2019;7;6;2019;7;9;3;3902.1896178093994;-34.5886019;-34.5886019;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
